,ID,빽다방,이디야,스벅,커피빈,전국대비인구비율,도시인구비율,지수_pk,지수_ed,지수_sb,지수_cb,지수_국내해외,지수_최저가,지수_최고가,지수_고가,지수_해외국내
0,강릉,2.0,12.0,3.0,0.0,0.0041090718474271785,87.14,0.003389830508474576,0.004741209008297116,0.0022935779816513763,0.0,3.545133229312458,0.4818668302704921,0.0,0.2820768460072627,0.2820768460072627
1,거제,2.0,7.0,4.0,0.0,0.004833784486680726,77.12,0.003389830508474576,0.002765705254839984,0.0030581039755351682,0.0,2.0128601946038613,0.5820641395316126,0.0,0.49680549234409394,0.49680549234409394
2,거창,2.0,1.0,0.0,0.0,0.0012050887373087735,65.47,0.003389830508474576,0.0003951007506914263,0.0,0.0,inf,8.579661016949153,0.0,0.0,0.0
3,경산,3.0,7.0,6.0,0.0,0.005037871006166993,88.59,0.005084745762711864,0.002765705254839984,0.0045871559633027525,0.0,1.711398321826303,0.6915329436880385,0.0,0.5843175064778954,0.5843175064778954
4,경주,2.0,22.0,7.0,1.0,0.004956271129934846,84.34,0.003389830508474576,0.00869221651521138,0.005351681957186544,0.006535947712418301,1.0163545937655016,0.16471602741985444,0.37490245027837976,0.28744674348889426,0.9839085749542299
5,고성(경남),2.0,1.0,0.0,0.0,0.001027340319278377,51.67,0.003389830508474576,0.0003951007506914263,0.0,0.0,inf,8.579661016949153,0.0,0.0,0.0
6,고양,11.0,57.0,32.0,7.0,0.020147952982494773,94.4,0.01864406779661017,0.0225207427894113,0.024464831804281346,0.0457516339869281,0.5862558037088643,0.20104193432134654,0.6971184410062881,0.2814752941688479,1.705740043294483
7,공주,1.0,4.0,2.0,0.0,0.002075809005658717,70.08,0.001694915254237288,0.0015804030027657052,0.0015290519877675841,0.0,2.1420581400799574,0.5450843506008107,0.0,0.4668407366210296,0.4668407366210296
8,광명,2.0,10.0,8.0,1.0,0.006306499207281032,100.0,0.003389830508474576,0.0039510075069142635,0.0061162079510703364,0.006535947712418301,0.5802045288276763,0.2041677524748627,0.48568963268080756,0.4407510551102847,1.7235301524111426
9,광양,1.0,6.0,1.0,0.0,0.0030209512940198675,90.0,0.001694915254237288,0.002370604504148558,0.0007645259938837921,0.0,5.317699843968687,0.5406203203665811,0.0,0.18805123067150845,0.18805123067150845
10,광주,2.0,10.0,2.0,0.0,0.007019287343457854,54.43,0.003389830508474576,0.0039510075069142635,0.0015290519877675841,0.0,4.800908062064301,0.6185754938909431,0.0,0.20829392837196273,0.20829392837196273
11,광주 광산,2.0,18.0,11.0,0.0,0.0078058607543359596,100.0,0.003389830508474576,0.007111813512445673,0.008409785932721712,0.0,1.248740943578517,0.21839440712599964,0.0,0.8008066085623011,0.8008066085623011
12,광주 동구,4.0,4.0,7.0,0.0,0.0018229246410575038,100.0,0.006779661016949152,0.0015804030027657052,0.005351681957186544,0.0,1.562137676826719,0.978011818394657,0.0,0.6401484419935193,0.6401484419935193
13,광주 북구,2.0,11.0,10.0,0.0,0.00848555742970925,100.0,0.003389830508474576,0.00434610825760569,0.00764525993883792,0.0,1.0118607906032988,0.28268921885660464,0.0,0.9882782387523612,0.9882782387523612
14,광주 서구,3.0,14.0,14.0,1.0,0.00586909376998934,100.0,0.005084745762711864,0.005531410509679968,0.010703363914373088,0.006535947712418301,0.6158109153206212,0.2233019107711011,0.3065710510912808,0.6240262957740906,1.62387508100494
15,구리,3.0,15.0,3.0,1.0,0.003927618729411781,100.0,0.005084745762711864,0.005926511260371394,0.0022935779816513763,0.006535947712418301,1.2470949634903867,0.3445874917778331,0.4912460552943671,0.13070902267476267,0.8018635543208241
16,구미,3.0,11.0,9.0,0.0,0.008132858413949631,95.12,0.005084745762711864,0.00434610825760569,0.006880733944954129,0.0,1.3706174509528177,0.4529097025655618,0.0,0.7295981816843393,0.7295981816843393
17,군포,8.0,9.0,4.0,1.0,0.005343180734618467,100.0,0.013559322033898305,0.0035559067562228367,0.0030581039755351682,0.006535947712418301,1.783941690830314,1.031130409381886,0.3239894859388477,0.12930028978502686,0.5605564381056435
18,김포,8.0,19.0,8.0,2.0,0.008165197357568708,92.32,0.013559322033898305,0.0075069142631371,0.0061162079510703364,0.013071895424836602,1.0978800710176857,0.5079345598208742,0.480894775522166,0.1791605938163199,0.9108462995170726
19,김해,3.0,31.0,9.0,0.0,0.010297367970811749,95.34,0.005084745762711864,0.012248123271434215,0.006880733944954129,0.0,2.519043632962563,0.2658154486278244,0.0,0.3969760534969112,0.3969760534969112
20,남양주,3.0,39.0,7.0,1.0,0.013156084277988415,88.52,0.005084745762711864,0.015408929276965626,0.005351681957186544,0.006535947712418301,1.7239496526441438,0.18627790311096007,0.2528867259682791,0.19799321678552068,0.5800633437677423
21,남해,1.0,1.0,0.0,0.0,0.0008488007934386831,30.04,0.001694915254237288,0.0003951007506914263,0.0,0.0,inf,4.2898305084745765,0.0,0.0,0.0
22,논산,1.0,3.0,1.0,0.0,0.0023198754124831296,61.28,0.001694915254237288,0.001185302252074279,0.0007645259938837921,0.0,3.76732449825553,0.8692638737544145,0.0,0.26544036768349866,0.26544036768349866
23,단양,1.0,1.0,0.0,0.0,0.0005837796773241044,55.34,0.001694915254237288,0.0003951007506914263,0.0,0.0,inf,4.2898305084745765,0.0,0.0,0.0
24,당진,3.0,5.0,2.0,0.0,0.003237174565019501,63.61,0.005084745762711864,0.0019755037534571317,0.0015290519877675841,0.0,4.617403183574523,1.4508959589083121,0.0,0.21657194753044254,0.21657194753044254
25,대구 달서,6.0,9.0,18.0,0.0,0.011064182981769848,100.0,0.010169491525423728,0.0035559067562228367,0.013761467889908258,0.0,0.9973789417996504,0.5872421041428305,0.0,1.002627946200288,1.002627946200288
26,대구 달성,2.0,7.0,2.0,0.0,0.004834305460116117,99.98,0.003389830508474576,0.002765705254839984,0.0015290519877675841,0.0,4.025720389207723,0.789295021111935,0.0,0.24840274617204697,0.24840274617204697
27,대구 동구,2.0,7.0,8.0,0.0,0.006778269595996099,98.58,0.003389830508474576,0.002765705254839984,0.0061162079510703364,0.0,1.0064300973019307,0.3816554417823933,0.0,0.9936109846881879,0.9936109846881879
28,대구 북구,5.0,8.0,7.0,0.0,0.008480077560981436,100.0,0.00847457627118644,0.0031608060055314103,0.005351681957186544,0.0,2.1741542882781357,0.9955463441830925,0.0,0.459948958264581,0.459948958264581
29,대구 서구,1.0,0.0,1.0,0.0,0.003557515341847622,100.0,0.001694915254237288,0.0,0.0007645259938837921,0.0,2.216949152542373,2.216949152542373,0.0,0.45107033639143734,0.45107033639143734
30,대구 수성,1.0,8.0,18.0,0.0,0.008350220108382156,100.0,0.001694915254237288,0.0031608060055314103,0.013761467889908258,0.0,0.3528490782098587,0.10015883590526481,0.0,2.834072870682817,2.834072870682817
31,대구 중구,4.0,9.0,9.0,1.0,0.001532067101610022,100.0,0.006779661016949152,0.0035559067562228367,0.006880733944954129,0.006535947712418301,0.7703520167740301,0.39944767714502255,0.37963714968685486,0.40783140974092463,1.2981078496914396
32,대전 대덕,2.0,2.0,4.0,0.0,0.0035115732029711148,100.0,0.003389830508474576,0.0007902015013828526,0.0030581039755351682,0.0,1.3668704672233791,0.8808631562142457,0.0,0.731598219421165,0.731598219421165
33,대전 동구,5.0,1.0,4.0,0.0,0.00441999651179342,99.62,0.00847457627118644,0.0003951007506914263,0.0030581039755351682,0.0,2.9003843861540624,2.4541192726927683,0.0,0.3447818864195479,0.3447818864195479
34,대전 서구,10.0,13.0,21.0,2.0,0.009351724004327627,99.13,0.01694915254237288,0.005136309758988542,0.016055045871559634,0.013071895424836602,0.7582485945441161,0.4946743820361778,0.3427299753210254,0.45666247152572503,1.3188286891599619
35,대전 유성,7.0,11.0,11.0,0.0,0.006749307332050851,100.0,0.011864406779661017,0.00434610825760569,0.008409785932721712,0.0,1.927577606249532,0.9301117273814966,0.0,0.5187858567965467,0.5187858567965467
36,대전 중구,7.0,3.0,7.0,0.0,0.004716179557469342,99.92,0.011864406779661017,0.001185302252074279,0.005351681957186544,0.0,2.43843134478711,1.8149664126238725,0.0,0.41009971518689864,0.41009971518689864
37,동해,1.0,3.0,1.0,0.0,0.0017611217553702087,99.56,0.001694915254237288,0.001185302252074279,0.0007645259938837921,0.0,3.76732449825553,0.8692638737544145,0.0,0.26544036768349866,0.26544036768349866
38,목포,3.0,11.0,5.0,0.0,0.004482822049039075,100.0,0.005084745762711864,0.00434610825760569,0.00382262996941896,0.0,2.4671114117150723,0.6224640356193556,0.0,0.40533232315796625,0.40533232315796625
39,무안,1.0,2.0,1.0,0.0,0.001582041960782702,67.24,0.001694915254237288,0.0007902015013828526,0.0007645259938837921,0.0,3.250532716351144,1.0901687012016215,0.0,0.30764188127370734,0.30764188127370734
40,밀양,1.0,3.0,0.0,0.0,0.0020596588291616,64.39,0.001694915254237288,0.001185302252074279,0.0,0.0,inf,1.4299435028248586,0.0,0.0,0.0
41,보령,1.0,2.0,0.0,0.0,0.0019679289139079626,56.48,0.001694915254237288,0.0007902015013828526,0.0,0.0,inf,2.1449152542372882,0.0,0.0,0.0
42,부산 금정,3.0,16.0,7.0,0.0,0.0046879119247712825,100.0,0.005084745762711864,0.006321612011062821,0.005351681957186544,0.0,2.1313594240138984,0.4355879134494563,0.0,0.46918412198949655,0.46918412198949655
43,부산 기장,1.0,9.0,3.0,1.0,0.0031811023871215053,100.0,0.001694915254237288,0.0035559067562228367,0.0022935779816513763,0.006535947712418301,0.5946890232152359,0.13684748280204445,0.8663310162839128,0.1945891907262328,1.6815511317047966
44,부산 남구,2.0,13.0,6.0,0.0,0.005401085967196541,100.0,0.003389830508474576,0.005136309758988542,0.0045871559633027525,0.0,1.8586985783069594,0.3486236909030597,0.0,0.5380108489192875,0.5380108489192875
45,부산 동래,2.0,22.0,7.0,0.0,0.00514249019011845,100.0,0.003389830508474576,0.00869221651521138,0.005351681957186544,0.0,2.2576167867116044,0.24137389736453854,0.0,0.442944970061362,0.442944970061362
46,부산 부산진,3.0,26.0,17.0,2.0,0.006991791523256669,100.0,0.005084745762711864,0.010272619517977083,0.012996941896024464,0.013071895424836602,0.5891081789213332,0.13991584831783052,0.4610197436096121,0.45716777620947285,1.6974811007224795
47,부산 북구,3.0,13.0,2.0,0.0,0.005729781614303337,100.0,0.005084745762711864,0.005136309758988542,0.0015290519877675841,0.0,6.684570311192065,0.762861185319235,0.0,0.1495982469248153,0.1495982469248153
48,부산 사하,1.0,16.0,7.0,0.0,0.006324829754081822,100.0,0.001694915254237288,0.006321612011062821,0.005351681957186544,0.0,1.4979453804303633,0.14519597114981878,0.0,0.6675810834389019,0.6675810834389019
49,부산 수영,1.0,11.0,7.0,1.0,0.003400721633107391,100.0,0.001694915254237288,0.00434610825760569,0.005351681957186544,0.006535947712418301,0.5081772968827508,0.10440696171374793,0.5736958381120213,0.4255143676295467,1.9678171499084598
50,부산 연제,1.0,16.0,5.0,0.0,0.0040103377337643974,100.0,0.001694915254237288,0.006321612011062821,0.00382262996941896,0.0,2.0971235326025086,0.1670815086527334,0.0,0.4768436310277871,0.4768436310277871
51,부산 중구,3.0,9.0,6.0,2.0,0.0008257428950945313,100.0,0.005084745762711864,0.0035559067562228367,0.0045871559633027525,0.013071895424836602,0.4893044552063633,0.23967738838377672,0.9882132359558868,0.21126751108078376,2.0437173407265457
52,부산 해운대,5.0,20.0,27.0,2.0,0.007898478253961005,100.0,0.00847457627118644,0.007902015013828527,0.020642201834862386,0.013071895424836602,0.485749066892298,0.20363690427126263,0.35311511594951506,0.7009596804835758,2.058676111099403
53,부천,14.0,48.0,13.0,4.0,0.016280767171588332,100.0,0.023728813559322035,0.018964836033188465,0.009938837920489297,0.026143790849673203,1.1832189351961737,0.4310609697302094,0.4967234513325235,0.14438128228833388,0.8451521271794077
54,삼척,2.0,2.0,0.0,0.0,0.0013183715165376556,79.2,0.003389830508474576,0.0007902015013828526,0.0,0.0,inf,4.2898305084745765,0.0,0.0,0.0
55,서귀포,6.0,7.0,9.0,0.0,0.00349717889990439,86.63,0.010169491525423728,0.002765705254839984,0.006880733944954129,0.0,1.8799152653983262,1.0542223212935171,0.0,0.5319388689511572,0.5319388689511572
56,서산,2.0,9.0,2.0,0.0,0.003360510202020185,69.67,0.003389830508474576,0.0035559067562228367,0.0015290519877675841,0.0,4.542512171112108,0.6666387436241826,0.0,0.22014250316365752,0.22014250316365752
57,서울 강남,17.0,41.0,76.0,12.0,0.010465082826382768,100.0,0.0288135593220339,0.01619913077834848,0.0581039755351682,0.0784313725490196,0.3296779239367927,0.18865130870657312,0.7606081137865996,0.4706907265373421,3.033263459253415
58,서울 강동,6.0,24.0,13.0,3.0,0.008250154618162265,100.0,0.010169491525423728,0.009482418016594232,0.009938837920489297,0.0196078431372549,0.6651139430385257,0.26056177996970864,0.6626342630276196,0.253155897381302,1.5035017841177274
59,서울 강북,1.0,19.0,5.0,1.0,0.006158369093818228,100.0,0.001694915254237288,0.0075069142631371,0.00382262996941896,0.006535947712418301,0.8883294405861225,0.09487089745178134,0.5018210328839885,0.24289516324976693,1.1257084976719862
60,서울 강서,8.0,43.0,14.0,3.0,0.011518317454931313,100.0,0.013559322033898305,0.01698933227973133,0.010703363914373088,0.0196078431372549,1.0078336458722086,0.2866631591430659,0.47531839603291676,0.2133993492040447,0.9922272431523863
61,서울 관악,5.0,29.0,10.0,1.0,0.009685417137351694,100.0,0.00847457627118644,0.011457921770051362,0.00764525993883792,0.006535947712418301,1.405557166315953,0.3305329183347225,0.23700069154063821,0.28884430955987944,0.7114616352610247
62,서울 광진,5.0,24.0,14.0,1.0,0.006860621989412701,100.0,0.00847457627118644,0.009482418016594232,0.010703363914373088,0.006535947712418301,1.0416305869124114,0.3171417563265459,0.22804836095618441,0.4369978875663911,0.9600332522532655
63,서울 구로,5.0,30.0,10.0,1.0,0.007804895988714865,100.0,0.00847457627118644,0.011853022520742789,0.00764525993883792,0.006535947712418301,1.4334180340507559,0.3255166838119619,0.23365319130680975,0.2845960766051731,0.6976331930009686
64,서울 금천,1.0,21.0,10.0,0.0,0.004513501595789871,100.0,0.001694915254237288,0.008297115764519953,0.00764525993883792,0.0,1.3069576572534471,0.10631509919066175,0.0,0.7651357291111371,0.7651357291111371
65,서울 노원,6.0,34.0,12.0,1.0,0.010491864720024342,100.0,0.010169491525423728,0.013433425523508494,0.009174311926605505,0.006535947712418301,1.5023887313932924,0.3489432262498439,0.19940513328006476,0.30440137673567785,0.6656066962593731
66,서울 동대문,5.0,22.0,8.0,2.0,0.0067157720790616176,100.0,0.00847457627118644,0.00869221651521138,0.0061162079510703364,0.013071895424836602,0.8946581353086139,0.3039626627055359,0.5614351677531264,0.20226432801400468,1.117745382883092
67,서울 동작,4.0,20.0,8.0,0.0,0.007644860667487759,100.0,0.006779661016949152,0.007902015013828527,0.0061162079510703364,0.0,2.4004540310321505,0.4836319863027707,0.0,0.41658785674392546,0.41658785674392546
68,서울 마포,7.0,34.0,32.0,7.0,0.007237227897263034,100.0,0.011864406779661017,0.013433425523508494,0.024464831804281346,0.0457516339869281,0.3602834750810913,0.14183409677154607,0.9193967969266704,0.34433519464299034,2.77559219105157
69,서울 서대문,4.0,19.0,21.0,1.0,0.005987586283572132,100.0,0.006779661016949152,0.0075069142631371,0.016055045871559634,0.006535947712418301,0.6324013694651583,0.2252535641808406,0.21541194782414444,0.7710422928738722,1.5812742481024848
70,서울 서초,11.0,28.0,45.0,8.0,0.008373220120789041,100.0,0.01864406779661017,0.011062821019359936,0.034403669724770644,0.05228758169934641,0.34267458743484935,0.1907242054533378,0.8155845603204173,0.4195852416455822,2.91822048283672
71,서울 성동,4.0,24.0,9.0,0.0,0.005947220489985549,100.0,0.006779661016949152,0.009482418016594232,0.006880733944954129,0.0,2.3634221528749717,0.4143248826925658,0.0,0.423115269010894,0.423115269010894
72,서울 성북,6.0,28.0,11.0,2.0,0.008410209234701795,100.0,0.010169491525423728,0.011062821019359936,0.008409785932721712,0.013071895424836602,0.988391559830725,0.3124795520805475,0.4409908912068599,0.24515318762553562,1.011744778730469
73,서울 송파,11.0,42.0,29.0,11.0,0.01286293059636273,100.0,0.01864406779661017,0.016594231529039907,0.02217125382262997,0.0718954248366013,0.3746097962415085,0.16847925581752746,1.2523251078249378,0.20694934294501097,2.6694443392380123
74,서울 양천,4.0,23.0,14.0,1.0,0.008956594596552287,100.0,0.006779661016949152,0.009087317265902806,0.010703363914373088,0.006535947712418301,0.9203951193847725,0.2575210462601442,0.2459865839853919,0.47776633805034213,1.0864898986735594
75,서울 영등포,6.0,34.0,35.0,3.0,0.007096391411895703,100.0,0.010169491525423728,0.013433425523508494,0.026758409785932722,0.0196078431372549,0.5090537958293472,0.17005930114638573,0.3893432593932468,0.6192533912996604,1.9644289232158785
76,서울 용산,5.0,13.0,17.0,2.0,0.0044186072492990456,100.0,0.00847457627118644,0.005136309758988542,0.012996941896024464,0.013071895424836602,0.5221132750436531,0.2715762322639014,0.491280064689735,0.48709096980529987,1.9152931898090342
77,서울 은평,7.0,23.0,8.0,1.0,0.00932343707631715,100.0,0.011864406779661017,0.009087317265902806,0.0061162079510703364,0.006535947712418301,1.6559805777624068,0.5457541136436899,0.24146461256186963,0.22250731182040748,0.6038718167523556
78,서울 종로,8.0,31.0,38.0,5.0,0.002953436995855695,100.0,0.013559322033898305,0.012248123271434215,0.0290519877675841,0.032679738562091505,0.41805805279944674,0.18328399026232806,0.5956995311755248,0.4967239974049317,2.392012289450446
79,서울 중구,7.0,30.0,50.0,3.0,0.0024259031542413828,100.0,0.011864406779661017,0.011853022520742789,0.0382262996941896,0.0196078431372549,0.4100939019625031,0.1702523946798566,0.3165428277488157,0.88230950536304,2.438465910403698
80,서울 중랑,3.0,18.0,6.0,1.0,0.00778004362631548,100.0,0.005084745762711864,0.007111813512445673,0.0045871559633027525,0.006535947712418301,1.096506841141791,0.27884666051631607,0.3894219855113496,0.24487677844429157,0.9119870141062698
81,성남,18.0,51.0,40.0,10.0,0.018414423523887856,100.0,0.030508474576271188,0.020150138285262742,0.03058103975535168,0.06535947712418301,0.5280210541823758,0.26279871134298133,0.8045267922600406,0.26358854691640354,1.8938638754632027
82,세종,3.0,14.0,7.0,1.0,0.006061159309836775,88.86,0.005084745762711864,0.005531410509679968,0.005351681957186544,0.006535947712418301,0.8930423109945957,0.29190734451366496,0.4093195095320602,0.3120131478870453,1.1197677732494933
83,수원,16.0,58.0,26.0,8.0,0.02317687324054488,100.0,0.02711864406779661,0.022915843540102725,0.019877675840978593,0.05228758169934641,0.6933320729845759,0.28521592366560145,0.7479039285857719,0.19426577253135158,1.4423103141548255
84,순천,3.0,14.0,4.0,0.0,0.005390898042237786,90.03,0.005084745762711864,0.005531410509679968,0.0030581039755351682,0.0,3.4714831010721294,0.5919712658339512,0.0,0.28806131871739804,0.28806131871739804
85,시흥,8.0,26.0,5.0,0.0,0.008657555844637926,100.0,0.013559322033898305,0.010272619517977083,0.00382262996941896,0.0,6.2344359099706015,0.9619781505835022,0.0,0.16039943540051813,0.16039943540051813
86,아산,4.0,9.0,4.0,0.0,0.0060359982224386394,76.31,0.006779661016949152,0.0035559067562228367,0.0030581039755351682,0.0,3.37973066182724,1.025045360811974,0.0,0.29588156573972474,0.29588156573972474
87,안동,2.0,6.0,2.0,0.0,0.003129313768581169,74.7,0.003389830508474576,0.002370604504148558,0.0015290519877675841,0.0,3.76732449825553,0.8692638737544145,0.0,0.26544036768349866,0.26544036768349866
88,안산,7.0,34.0,9.0,0.0,0.012741524490604237,100.0,0.011864406779661017,0.013433425523508494,0.006880733944954129,0.0,3.676618294727302,0.5840461574637288,0.0,0.27198907252191945,0.27198907252191945
89,안성,1.0,4.0,2.0,0.0,0.0035422141590970672,79.0,0.001694915254237288,0.0015804030027657052,0.0015290519877675841,0.0,2.1420581400799574,0.5450843506008107,0.0,0.4668407366210296,0.4668407366210296
90,안양,13.0,28.0,13.0,4.0,0.011130134359627845,100.0,0.022033898305084745,0.011062821019359936,0.009938837920489297,0.026143790849673203,0.9172480069360431,0.46736001890858064,0.6074927925500668,0.16777097110199374,1.0902176864252668
91,양산,1.0,16.0,7.0,0.0,0.006727098427453264,98.82,0.001694915254237288,0.006321612011062821,0.005351681957186544,0.0,1.4979453804303633,0.14519597114981878,0.0,0.6675810834389019,0.6675810834389019
